country,confirmed,death,recovered,active,population
Afghanistan,40833,1514,34129,5190,38041754
Albania,19157,477,10654,8026,2854191
Algeria,56143,1914,39095,15134,43053054
Andorra,4038,69,2729,1240,77142
Angola,9381,268,3508,5605,31825295
Antigua and Barbuda,124,3,108,13,97118
Argentina,1090589,28896,894819,166874,44938712
Armenia,77837,1180,50908,25749,2957731
Australia,27525,905,25196,1424,25364307
Austria,80811,979,57858,21974,8877067
Azerbaijan,49959,671,41279,8009,10023318
Bahamas,6410,132,3948,2330,389482
Bahrain,80255,312,76776,3167,1641172
Bangladesh,398815,5803,315107,77905,163046161
Barbados,227,7,208,12,287025
Belarus,92823,957,83237,8629,9466856
Belgium,321031,10810,23087,287134,11484055
Belize,3145,50,1961,1134,390353
Benin,2557,41,2330,186,11801151
Bhutan,342,0,307,35,763092
Bolivia,140853,8645,108658,23550,11513100
Bosnia and Herzegovina,40893,1086,26459,13348,3301000
Botswana,5923,21,927,4975,2303697
Brazil,5394128,157134,4526393,710601,211049527
Brunei,148,3,143,2,433285
Bulgaria,37889,1094,18354,18441,6975761
Burkina Faso,2451,65,2019,367,20321378
Myanmar,44774,1095,24920,18759,54045420
Burundi,557,1,511,45,11530580
Cabo Verde,8396,94,7285,1017,549935
Cambodia,287,0,283,4,16486542
Cameroon,21570,425,20117,1028,25876380
Canada,218874,9995,184194,NA,37589262
Central African Republic,4862,62,1924,2876,4745185
Chad,1437,96,1268,73,15946876
Chile,502063,13944,478252,NA,18952038
China,91151,4739,86002,410,1397715000
Colombia,1015885,30000,907379,78506,50339443
Comoros,517,7,494,16,850886
"Congo, Rep.",5253,92,3887,1274,5380508
"Congo, Dem. Rep.",11143,305,10467,371,86790567
Costa Rica,103088,1282,62037,39769,5047561
Cote d'Ivoire,20470,122,20166,182,25716544
Croatia,36380,437,24799,11144,4067500
Cuba,6566,128,5998,440,11333483
Cyprus,3545,25,1882,1638,1198575
Czech Republic,258097,2201,97381,158515,10669709
Denmark,40863,702,32479,7682,5818553
Djibouti,5536,61,5402,73,973560
Dominica,38,0,29,9,71808
Dominican Republic,124527,2223,102651,19653,10738958
Ecuador,161635,12553,141759,7323,17373662
Egypt,106540,6199,98903,1438,100388073
El Salvador,32585,949,28258,3378,6453553
Equatorial Guinea,5079,83,4962,34,1355986
Estonia,4411,73,3457,881,1326590
Eswatini,5854,116,5502,236,1148130
Ethiopia,93343,1426,47543,44374,112078730
Fiji,33,2,30,1,889953
Finland,14848,353,9800,4695,5520314
France,1130143,34673,114534,980936,67059887
Gabon,8919,54,8512,353,2172579
Gambia,3660,119,2660,881,2347706
Georgia,28431,201,10767,17463,3720382
Germany,437698,10062,320004,107632,83132799
Ghana,47690,316,46887,487,30417856
Greece,30782,574,1347,28861,10716322
Grenada,28,0,24,4,112003
Guatemala,104787,3644,94217,6926,16604026
Guinea,11635,71,10474,1090,12771246
Guinea-Bissau,2403,41,1818,544,1920922
Guyana,4023,119,2970,934,782766
Haiti,9026,232,7373,1421,11263077
Honduras,93214,2623,37996,52595,9746117
Hungary,59247,1425,16242,41580,9769949
Iceland,4448,11,3395,1042,361313
India,7909959,119014,7137228,653717,1366417754
Indonesia,389712,13299,313764,62649,270625568
Iran,568896,32616,455054,81226,82913906
Iraq,451707,10623,381349,59735,39309783
Ireland,57128,1882,23364,31882,4941444
Israel,309946,2397,293109,14440,9053300
Italy,525782,37338,266203,222241,60297396
Jamaica,8714,188,4282,4244,2948279
Japan,97095,1716,88610,NA,126264931
Jordan,53087,579,7508,45000,10101694
Kazakhstan,110542,1796,105675,3071,18513930
Kenya,49721,902,34209,14610,52573973
"Korea, Rep.",25955,457,23905,1593,51709098
Kuwait,121635,746,112771,8118,4207083
Kyrgyz Republic,55750,1134,47616,7000,6456900
Laos,24,0,22,2,7169455
Latvia,4678,56,1357,3265,1912789
Lebanon,71390,565,34803,36022,6855713
Lesotho,1940,43,970,927,2125268
Liberia,1393,82,1278,33,4937374
Libya,56013,795,30731,24487,6777452
Liechtenstein,365,1,170,194,38019
Lithuania,10184,134,4073,5977,2786844
Luxembourg,12851,141,9085,3625,619896
Madagascar,16968,244,16301,423,26969307
Malawi,5890,183,5291,416,18628747
Malaysia,26565,229,17134,9202,31949777
Maldives,11505,37,10524,944,530953
Mali,3490,132,2661,697,19658031
Malta,5498,51,3567,1880,502653
Mauritania,7664,163,7385,116,4525696
Mauritius,435,10,386,39,1265711
Mexico,891160,88924,752691,49545,127575529
Moldova,71503,1685,52290,17528,2657637
Monaco,306,2,244,60,38964
Mongolia,339,0,312,27,3225167
Montenegro,16797,266,12775,3756,622137
Morocco,197481,3301,163195,30985,36471769
Mozambique,11986,86,9253,2647,30366036
Namibia,12660,133,10779,1748,2494530
Nepal,158089,847,111670,45572,28608710
Netherlands,297466,7108,5619,284739,17332850
New Zealand,1940,25,1841,74,4917000
Nicaragua,5434,155,4225,1054,6545502
Niger,1215,69,1128,18,23310715
Nigeria,61992,1130,57465,3397,200963599
North Macedonia,26954,919,18627,7408,2083459
Norway,17909,279,11863,5767,5347896
Oman,112932,1174,99278,12480,4974986
Pakistan,328602,6739,311075,10788,216565318
Panama,129200,2633,105231,21336,4246439
Papua New Guinea,583,7,545,31,8776109
Paraguay,59594,1309,39735,18550,7044636
Peru,888715,34149,803846,50720,32510453
Philippines,370028,6977,328036,35015,108116615
Poland,253688,4438,112619,136631,37970874
Portugal,118686,2316,68877,47493,10269417
Qatar,131170,230,128099,2841,2832067
Romania,209648,6391,149741,53516,19356544
Russia,1503652,25875,1132790,344987,144373535
